source_id,ra,dec,phot_g_mean_mag,bp_rp,parallax
3403770309454515712,83.61263312415225,21.921901846833023,20.066711,1.2341385,0.6382884740557098
3403770309454516608,83.62352844386389,21.92412429612641,18.791956,1.6094437,0.5341764401446185
3403770309454518528,83.62213332457827,21.926133797395075,18.688217,1.2650089,0.26291658734691953
3403770309454520448,83.61846251192742,21.92889803410813,17.802658,1.2444725,0.2736090197083609
3403770313750386432,83.61928555657391,21.931629280849542,20.397345,1.6621227,1.136125163727974
3403770313752353152,83.61685937498908,21.915669824112577,15.977612,1.2965002,0.8877372581175181
3403770343814259456,83.62796997505583,21.930582665548872,19.288738,1.345005,0.7170289910674578
3403770343814260864,83.6240767154502,21.932746798814104,19.44804,2.0839481,0.895270144240803
3403770343814264320,83.624984247373,21.938974963839186,19.753876,1.6833668,0.17193131582269616
3403770348111773568,83.62796283685879,21.94090200620758,17.18927,1.1235619,0.463039174905275
3403770378173996544,83.64663078128658,21.92803331381138,16.422905,0.8070669,0.3511995708995936
3403770378173998336,83.65503919951577,21.931364451724097,19.224249,1.3129063,0.2554587814450918
3403770378174001152,83.64410518615477,21.936393637954566,19.699081,1.3855,0.5296099558917456
3403770382471817728,83.65420190598431,21.93689883483107,19.365818,1.7745266,0.6881532458149912
3403770412533741824,83.66383476767055,21.941019167191584,17.015871,1.4805908,0.5439917304798914
3403770412533743616,83.6519675239353,21.943096122330147,17.109583,1.2283726,0.06455274754704617
3403770412535968640,83.66912636797524,21.946260293154147,17.131855,1.0125675,0.25008339837217425
3403770416828777344,83.65902863751063,21.93987248859753,20.40831,1.7730427,0.27798701330343
3403770416829574912,83.6600153130237,21.942002572793033,20.399351,1.8927593,0.53529878479587
3403770416831550336,83.6682851399378,21.946502596405807,16.498495,0.74897385,0.16201075412269644
3403770446893481472,83.63152903447778,21.942466619801632,16.647583,1.6603165,0.13023794665431038
3403770451188524160,83.6350307167272,21.940406162064324,18.048048,0.91555977,0.01752706539848225
3403770451189321984,83.64297796649387,21.941283380525306,20.455366,2.6518955,1.7600844539162968
3403770451191296256,83.64076451294534,21.94098899627004,17.888796,1.285923,0.12808652883498584
3403770451191297152,83.6347744133541,21.939611295490025,15.309562,1.1600418,0.7301841503254102
3403770481252275840,83.65503585673416,21.951445960501015,19.728565,1.447834,0.17595102732660983
3403770481252276864,83.65564383656279,21.953469179750932,20.428501,1.0399246,1.021504840584391
3403770481252276992,83.65153578243344,21.95292215798851,17.162678,1.2047386,0.34266508485165614
